time,open,high,low,close,volume,ema15,ema50,ema100,ema200,sma300,ema_trend,touching15,touching200,entry_cross15_bull,entry_cross15_bear,entryPos1,entryPos2,entryPos1_time,valleybull,valleybear,inEntry,entrySL,entryTP,entryType,inPB,hl,entryPos2_time
2021-01-11 12:52,364.5901,364.7,364.5301,364.56,11191,364.52216040767655,364.4624798738424,364.6415403499996,365.12796801477737,365.78885533333346,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:53,364.59,364.64,364.53,364.57,9373,364.528140356717,364.466696349378,364.64012370940554,365.12241609423234,365.7804086666668,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:54,364.59,364.67,364.23,364.32,28645,364.5021228121274,364.46094355136324,364.63378462605095,365.11443185448877,365.7715420000002,down,yes,no,unk,yes,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:55,364.32,364.33,364.0781,364.15,19193,364.45810746061153,364.4487496866039,364.6242047324657,365.1048355176282,365.7622253333335,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:56,364.195,364.3,364.145,364.22,12200,364.4283440280351,364.43977911065866,364.6162006783575,365.09603118411945,365.7532586666668,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:57,364.22,364.2927,364.11,364.11,17061,364.3885510245307,364.4268465965152,364.60617690254844,365.0862199285561,365.7432253333335,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:58,364.11,364.2375,364.07,364.12,22961,364.35498214646435,364.4148133966518,364.59654963715144,365.07660579991375,365.7332753333335,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:59,364.09,364.2,363.88,363.92,66180,364.3006093781563,364.3954089497243,364.58315261463355,365.06509728449174,365.72261433333347,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-12 06:30,364.0,364.255,363.39,363.42,52798,364.19053320588677,364.3571576183626,364.5601198895913,365.0487281572829,365.7095476666668,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,363.39,
2021-01-12 06:31,363.33,363.33,362.11,362.45,25182,363.9729665551509,364.2823671235248,364.5183353373222,365.02287016566817,365.69368100000014,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,362.11,
2021-01-12 06:32,362.45,363.34,362.45,363.2,11634,363.876345735757,364.2399213539748,364.4922296870782,365.0047321540695,365.6807476666668,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,362.11,
2021-01-12 06:33,363.2125,363.55,362.46,362.52,10683,363.70680251878736,364.17247345774047,364.4531756338687,364.98000845104394,365.66544600000014,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,362.11,
2021-01-12 06:34,362.465,362.75,361.69,361.92,21814,363.48345220393895,364.0841411652801,364.4030137401287,364.94956060576,365.64762933333344,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,361.69,
2021-01-12 06:35,361.82,362.0768,361.5,361.9171,15380,363.2876581784466,363.99915915879853,364.3537877254727,364.9193868683892,365.62962200000015,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,361.5,
2021-01-12 06:36,362.005,362.28,361.97,362.28,8027,363.1617009061407,363.93174115257113,364.31272262199803,364.8931243124848,365.6132386666668,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,361.5,
2021-01-12 06:37,362.4589,362.4827,361.9,361.92,6677,363.00648829287314,363.8528493426664,364.2653419760179,364.8635409859925,365.5963386666668,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,361.5,
2021-01-12 06:38,361.8353,361.86,361.54,361.54,11043,362.823177256264,363.76214936844417,364.21137480817595,364.8304709264304,365.57810533333344,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,361.5,
2021-01-12 06:39,361.5,361.52,361.02,361.185,10798,362.618405099231,363.66108468732875,364.1514465941526,364.7941975838788,365.55868866666674,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,361.02,
2021-01-12 06:40,361.27,361.72,361.17,361.55,20275,362.4848544618271,363.5782970525316,364.099932800209,364.76191701090494,365.5401886666668,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,361.02,
2021-01-12 06:41,361.565,361.565,360.87,361.01,17126,362.30049765409876,363.47757952105974,364.038746012086,364.7245845033338,365.5204553333334,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,360.87,
2021-01-12 06:42,360.945,361.496,360.945,361.38,6554,362.18543544733643,363.39532150062604,363.98609757620306,364.69130505553943,365.5022883333334,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,360.87,
2021-01-12 06:43,361.38,361.7599,361.17,361.72,23251,362.12725601641944,363.32962261824855,363.9412243568723,364.6617398311062,365.48585500000013,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,360.87,
2021-01-12 06:44,361.77,362.07,361.69,361.755,8969,362.08072401436704,363.26787271165057,363.8979327854491,364.63281704671715,365.4692050000001,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,360.87,
2021-01-12 06:45,361.7,361.74,361.28,361.34,9792,361.98813351257115,363.19226986021334,363.8472806510838,364.6000526979936,365.4520050000001,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,360.87,
2021-01-12 06:46,361.35,361.35,360.6,360.6117,15399,361.81607932349976,363.09107104216577,363.7832097471019,364.560367596521,365.43201066666677,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,no,360.6,
